類別代碼,類別中文名稱,R,G,B
01,農業利用土地,152,230,0
02,森林利用土地,90,194,0
03,交通利用土地,255,85,0
04,水利利用土地,151,219,242
05,建築利用土地,255,161,161
06,公共利用土地,255,197,89
07,遊憩利用土地,255,251,20
08,礦鹽利用土地,206,140,255
09,其他利用土地,225,225,225
0101,農業使用,209,255,115
0102,水產養殖,138,255,218
0103,畜牧,159,177,105
0104,農業相關設施,168,168,0
0201,針葉林,58,122,42
0202,闊葉林,56,168,0
0203,竹林,79,190,15
0204,混淆林,24,141,13
0205,灌木林,122,186,101
0206,待成林地,4,108,31
0207,其他森林利用土地,58,81,23
0301,機場,174,120,255
0302,一般鐵路及相關設,255,110,255
0303,高速鐵路及相關設,109,0,189
0304,捷運及相關設施,163,38,255
0305,道路及相關設施,211,142,191
0306,港口,103,141,174
0401,河道及溝渠,190,232,255
0402,蓄水設施,158,215,194
0403,水道沙洲灘地,214,136,0
0404,水利構造物,53,95,96
0405,防汛道路,204,204,204
0406,海面,158,202,255
0501,商業,194,0,6
0502,纯住宅,255,244,41
0503,混合使用住宅,235,224,82
0504,製造業,255,194,61
0505,倉儲,165,129,68
0506,宗教,197,0,255
0507,殯葬設施,130,130,130
0508,其他建築用地,205,205,102
0601,政府機關,255,159,41
0602,學校,232,190,255
0603,醫療保健,161,139,246
0604,社會福利設施,249,224,165
0605,公用設備,255,218,150
0606,環保設施,216,141,103
0701,文化設施,255,255,190
0702,公園綠地廣場,147,255,47
0703,休開設施,191,255,191
0801,礦業及相關設施,206,153,29
0802,土石及相關設施,149,111,35
0803,鹽業及相關設施,140,140,140
0901,濕地,0,168,132
0902,草生地,176,211,38
0903,裸露地,179,168,46
0904,營建剩餘土石收容處理相關設施,51,51,51
0905,空置地,255,236,201
010101,水田,171,220,97
010102,旱田,198,230,150
010103,果園,99,192,59
010200,水產養殖,138,255,218
010301,畜禽舍,112,134,79
010302,牧場,147,203,62
010401,農業生產設施,107,144,75
010402,農業產銷及加工設施,77,101,57
020100,針葉林,58,122,42
020200,闊葉林,56,168,0
020300,竹林,79,190,15
020401,針闊葉混淆林,44,124,10
020402,竹闊葉混淆林,74,162,37
020403,竹針葉混淆林,36,97,10
020404,竹針闊葉混淆林,35,81,16
020500,灌木林,122,186,101
020600,待成林地,4,108,31
020700,其他森林利用土地,58,81,23
030100,機場,174,120,255
030201,一般鐵路,233,119,210
030202,一般鐵路及相關設施,176,87,158
030301,高速鐵路,129,81,212
030302,高速鐵路及相關設施,99,62,162
030401,捷運路線,148,78,239
030402,捷運相關設施,115,59,189
030501,國道,230,0,0
030502,省道,255,120,120
030503,快速公路,255,20,165
030504,一般道路,231,148,163
030505,道路相關設施,95,76,119
030601,商港,79,108,203
030602,漁港,116,134,192
030603,專用港,90,109,169
030604,其他港口設施,63,72,101
040101,河川,164,215,245
040102,減河,16,215,245
040103,運河,110,199,250
040104,溝梁,166,205,213
040201,水庫,70,212,206
040202,湖泊,121,238,233
040203,蓄水池,122,216,250
040300,水道沙洲灘地,214,136,0
040401,堤防,156,156,156
040402,水閘門,87,103,124
040403,抽水站,112,143,161
040404,堰壩,90,133,158
040405,地下取水井,36,120,168
040406,其他水利設施,92,126,145
040500,防汛道路,204,204,204
040600,海面,158,202,255
050101,零售批發,216,5,61
050102,服務業,228,62,106
050200,纯住宅,255,244,41
050301,兼工業使用住宅,202,178,26
050302,兼商業使用住宅,228,180,25
050303,兼其他使用住宅,236,193,83
050400,製造業,255,194,61
050500,倉儲,165,129,68
050600,宗教,197,0,255
050700,殯葬設施,130,130,130
050801,興建中,209,136,9
050802,其他,186,104,73
060100,政府機關,255,159,41
060201,幼兒園,235,186,255
060202,小學,227,158,255
060203,中學,218,129,255
060204,大專院校,209,101,235
060205,特種學校,201,73,255
060300,醫療保健,161,139,246
060400,社會福利設施,249,224,165
060501,氣象,148,172,176
060502,電力,147,161,232
060503,瓦斯,239,114,135
060504,自來水,164,175,232
060505,加油(氣)站,123,153,148
060600,環保設施,216,141,103
070101,法定文化資產,205,205,93
070102,一般文化設施,233,233,132
070103,其他文化設施,230,230,147
070200,公園綠地廣場,147,255,47
070301,遊樂場所,246,171,171
070302,體育場所,172,172,247
080100,礦業及相關設施,206,153,29
080200,土石及相關設施,149,111,35
080300,鹽業及相關設施,140,140,140
090100,濕地,0,168,132
090200,草生地,176,211,38
090301,灘地,201,173,137
090302,崩塌地,154,137,105
090303,礁岩,192,108,34
090400,營建剩餘土石收容,51,51,51
090501,未使用地,192,174,84
090502,人工改變中土地,188,146,62